Survived,Sex,Age,SibSp,Parch,Fare,Pclass_1,Pclass_2,Pclass_3,Embarked_C,Embarked_Q,Embarked_S
0,1,22.0,1,0,0,0,0,1,0,0,1
1,0,38.0,1,0,4,1,0,0,1,0,0
1,0,26.0,0,0,1,0,0,1,0,0,1
1,0,35.0,1,0,4,1,0,0,0,0,1
0,1,35.0,0,0,1,0,0,1,0,0,1
0,1,24.0,0,0,1,0,0,1,0,1,0
0,1,54.0,0,0,4,1,0,0,0,0,1
1,0,27.0,0,2,2,0,0,1,0,0,1
1,0,14.0,1,0,3,0,1,0,1,0,0
1,0,4.0,1,1,2,0,0,1,0,0,1
0,1,20.0,0,0,1,0,0,1,0,0,1
0,1,39.0,1,5,3,0,0,1,0,0,1
0,0,14.0,0,0,1,0,0,1,0,0,1
1,1,24.0,0,0,2,0,1,0,0,0,1
0,0,31.0,1,0,2,0,0,1,0,0,1
1,0,24.0,0,0,0,0,0,1,1,0,0
0,1,35.0,0,0,3,0,1,0,0,0,1
1,1,34.0,0,0,2,0,1,0,0,0,1
1,0,15.0,0,0,1,0,0,1,0,1,0
1,1,28.0,0,0,3,1,0,0,0,0,1
0,0,8.0,3,1,2,0,0,1,0,0,1
1,0,38.0,1,5,3,0,0,1,0,0,1
0,1,24.0,0,0,0,0,0,1,1,0,0
0,1,19.0,3,2,4,1,0,0,0,0,1
1,0,24.0,0,0,1,0,0,1,0,1,0
0,1,24.0,0,0,1,0,0,1,0,0,1
0,1,40.0,0,0,3,1,0,0,1,0,0
1,0,24.0,1,0,4,1,0,0,1,0,0
1,0,24.0,0,0,0,0,0,1,0,1,0
0,1,28.0,1,0,4,1,0,0,1,0,0
0,1,42.0,1,0,4,1,0,0,0,0,1
1,1,24.0,0,0,0,0,0,1,1,0,0
0,1,21.0,0,0,1,0,0,1,0,0,1
0,0,18.0,2,0,2,0,0,1,0,0,1
1,0,14.0,1,0,2,0,0,1,1,0,0
0,0,40.0,1,0,1,0,0,1,0,0,1
0,0,27.0,1,0,2,0,1,0,0,0,1
0,1,24.0,0,0,1,0,0,1,1,0,0
1,0,3.0,1,2,4,0,1,0,1,0,0
1,0,19.0,0,0,1,0,0,1,0,1,0
0,1,24.0,0,0,1,0,0,1,0,0,1
0,1,24.0,1,0,2,0,0,1,0,1,0
0,1,24.0,2,0,3,0,0,1,1,0,0
0,0,18.0,1,0,2,0,0,1,0,0,1
0,1,7.0,4,1,3,0,0,1,0,0,1
0,1,21.0,0,0,0,0,0,1,0,0,1
1,0,49.0,1,0,4,1,0,0,1,0,0
1,0,29.0,1,0,3,0,1,0,0,0,1
1,1,24.0,0,0,3,1,0,0,0,0,1
1,0,21.0,0,0,1,0,1,0,0,0,1
0,1,28.5,0,0,0,0,0,1,1,0,0
1,0,5.0,1,2,3,0,1,0,0,0,1
0,1,11.0,5,2,4,0,0,1,0,0,1
0,1,22.0,0,0,0,0,0,1,1,0,0
1,0,38.0,0,0,4,1,0,0,0,0,0
0,1,45.0,1,0,4,1,0,0,0,0,1
0,1,4.0,3,2,3,0,0,1,0,0,1
0,1,24.0,0,0,3,1,0,0,1,0,0
1,1,24.0,1,1,2,0,0,1,1,0,0
1,0,29.0,0,0,1,0,1,0,0,0,1
0,1,19.0,0,0,1,0,0,1,0,0,1
1,0,17.0,4,2,1,0,0,1,0,0,1
0,1,26.0,2,0,1,0,0,1,0,0,1
0,1,32.0,0,0,1,0,1,0,0,0,1
0,0,16.0,5,2,4,0,0,1,0,0,1
0,1,21.0,0,0,4,0,1,0,0,0,1
0,1,26.0,1,0,2,0,0,1,1,0,0
1,1,32.0,0,0,4,0,0,1,0,0,1
0,1,25.0,0,0,0,0,0,1,0,0,1
1,0,30.0,0,0,2,0,0,1,0,0,1
0,1,22.0,0,0,1,0,0,1,0,0,1
1,1,29.0,0,0,1,0,0,1,0,0,1
1,0,24.0,0,0,0,0,0,1,0,1,0
0,1,28.0,0,0,4,1,0,0,0,0,1
1,0,17.0,0,0,1,0,1,0,0,0,1
1,0,33.0,3,0,2,0,0,1,0,0,1
0,1,16.0,1,3,3,0,0,1,0,0,1
1,0,23.0,3,2,4,1,0,0,0,0,1
0,1,29.0,0,0,1,0,0,1,0,0,1
0,1,20.0,0,0,1,0,0,1,0,0,1
0,1,46.0,1,0,4,1,0,0,0,0,1
0,1,26.0,1,2,2,0,0,1,0,0,1
1,1,23.0,0,1,4,1,0,0,1,0,0
1,0,34.0,0,1,3,0,1,0,0,0,1
0,1,34.0,1,0,3,0,1,0,0,0,1
0,0,28.0,0,0,1,0,0,1,0,0,1
0,1,21.0,0,1,4,1,0,0,0,0,1
0,1,33.0,0,0,1,0,0,1,0,0,1
0,1,37.0,2,0,1,0,0,1,0,0,1
0,1,28.0,0,0,1,0,0,1,0,0,1
1,0,21.0,0,0,0,0,0,1,0,0,1
1,1,24.0,0,0,0,0,0,1,0,0,1
0,1,38.0,0,0,1,0,0,1,0,0,1
1,0,24.0,1,0,3,0,0,1,0,1,0
0,1,47.0,0,0,4,1,0,0,0,0,1
0,0,14.5,1,0,2,0,0,1,1,0,0
0,1,22.0,0,0,1,0,0,1,0,0,1
0,0,20.0,1,0,1,0,0,1,0,0,1
0,0,17.0,0,0,2,0,0,1,1,0,0
0,1,21.0,0,0,1,0,0,1,0,0,1
0,1,29.0,1,0,2,0,1,0,0,0,1
0,1,24.0,0,1,4,1,0,0,1,0,0
0,1,21.0,2,0,4,0,1,0,0,0,1
0,1,32.5,1,0,3,0,1,0,1,0,0
1,0,32.5,0,0,2,0,1,0,0,0,1
0,1,54.0,0,1,4,1,0,0,0,0,1
1,1,12.0,1,0,2,0,0,1,1,0,0
0,1,24.0,0,0,0,0,0,1,0,1,0
1,1,24.0,0,0,0,0,0,1,0,0,1
1,0,24.0,1,1,3,0,0,1,1,0,0
0,1,45.0,0,0,0,0,0,1,0,0,1
0,1,33.0,0,0,1,0,0,1,1,0,0
0,1,20.0,0,0,0,0,0,1,0,0,1
0,0,47.0,1,0,2,0,0,1,0,0,1
